Dataset,Variable,N válidos,Outliers (IQR×3),Outlier %,Min,Max,Media
tracking,tracker_M01 (actual),1016,0,0.0,-32.3,50.6,0.35
tracking,tracker_M03 (actual),1016,0,0.0,-32.3,50.6,0.37
tracking,tracker_M05 (actual),1016,0,0.0,-32.3,53.5,4.6
irradiance,S1d12_Z8AI.pyra.GPOA.Wm2,1234,0,0.0,-2.93,1032.0,326.4
irradiance,S1d12_Z8AI.pyra.ALBEDO.Wm2,1234,0,0.0,-6.34,167.0,38.9
irradiance,S2d30_Z8AI.pyra.GPOA.Wm2,1233,0,0.0,-1.58,1026.0,326.76
irradiance,S2d30_Z8AI.pyra.ALBEDO.Wm2,1233,0,0.0,-1.65,160.0,37.1
air_temp,WS100.Air.TempAvg.degC,940,0,0.0,0.57,31.5,17.28
air_temp,S1d10_Z8AI.air.T__center.degC,938,0,0.0,2.05,33.6,18.33
air_temp,S2d30_Z8AI.air.T__east.degC,938,0,0.0,1.94,32.4,18.13
soil_temp,S1d13_HD3910,899,0,0.0,5.43,34.2,18.6
soil_temp,S1d14_HD3910,899,0,0.0,4.34,34.8,18.46
soil_temp,S2d32_HD3910,899,0,0.0,4.53,32.5,18.64
soil_vwc,S1d13_HD3910,860,0,0.0,11.8,38.8,25.52
soil_vwc,S1d14_HD3910,860,0,0.0,9.01,40.6,26.73
soil_vwc,S2d32_HD3910,860,9,1.0,7.97,39.5,21.02
epar,S1d19_SQ618 cal_out,938,49,5.2,-0.05,2288.0,206.99
epar,S1d20_SQ618 cal_out,938,6,0.6,-0.03,2351.0,280.85
epar,S2d36_SQ618 cal_out,938,38,4.1,-0.02,2332.0,209.03
epar,S2d37_SQ618 cal_out,938,8,0.9,-0.04,1840.0,224.93
