Dataset,T_inicio,T_fin,Días cubiertos,Frecuencia mediana,Hueco máximo,N° huecos grandes
air_temp,2025-02-12 07:00,2026-02-12 07:00,365,0 days 06:00:00,0 days 07:00:00,0
epar,2025-02-12 07:00,2026-02-12 07:00,365,0 days 06:00:00,0 days 07:00:00,0
irradiance,2025-05-12 04:00,2025-10-05 04:00,146,0 days 02:00:00,0 days 02:00:00,0
pv_temp,2025-05-12 04:00,2025-10-05 04:00,146,0 days 02:00:00,0 days 02:00:00,0
soil_temp,2025-02-12 07:00,2026-02-12 07:00,365,0 days 06:00:00,0 days 07:00:00,0
soil_vwc,2025-02-12 07:00,2026-02-12 07:00,365,0 days 06:00:00,0 days 07:00:00,0
tracking,2025-02-12 13:00,2026-02-12 13:00,365,0 days 06:00:00,0 days 07:00:00,0
wind_speed,2025-02-12 07:00,2026-02-12 07:00,365,0 days 06:00:00,0 days 07:00:00,0
wind_dir,2025-02-12 13:00,2026-02-12 13:00,365,0 days 12:00:00,0 days 13:00:00,0
precip_type,2025-06-16 11:55,2026-02-12 08:39,240,0 days 00:05:00,3 days 03:03:00,648
precip_cumsum,2025-06-16 11:55,2026-02-12 08:44,240,0 days 00:05:00,3 days 03:03:00,648
