,importance
Albedo_S1,0.7665207710905074
Albedo_S2,0.11211796697844789
solar_elevation_deg,0.05663333460267629
VWC_S1_mean,0.04833828888049864
GPOA_S1,0.010224398843345531
GPOA_S2,0.00547940780947704
Tair_S1_center,0.0006858317950471405
hour_of_day,0.0
tracking_regime_TRACKING_AM,0.0
tracking_regime_HORIZONTAL,0.0
ePAR_S2_mean,0.0
ePAR_S1_mean,0.0
VWC_diff_S1_minus_S2,0.0
VWC_S2_mean,0.0
Tsoil_S1_mean,0.0
Tsoil_S1_mean_lag_12h,0.0
Tsoil_S1_mean_lag_6h,0.0
Tsoil_S2_mean,0.0
day_of_year,0.0
wind_speed_kmh,0.0
Tair_WS,0.0
track_mean,0.0
tracking_regime_TRACKING_PM,0.0
