,importance
Albedo_S1,0.7726251301934829
Albedo_S2,0.11222938189099582
solar_elevation_deg,0.06607265053323265
VWC_S1_mean,0.04838632405606931
Tair_S1_center,0.000686513326219269
Tair_WS,0.0
track_mean,0.0
day_of_year,0.0
hour_of_day,0.0
Tsoil_S1_mean,0.0
Tsoil_S2_mean,0.0
Tsoil_S1_mean_lag_6h,0.0
wind_speed_kmh,0.0
Tsoil_S1_mean_lag_12h,0.0
VWC_S2_mean,0.0
VWC_diff_S1_minus_S2,0.0
ePAR_S1_mean,0.0
ePAR_S2_mean,0.0
tracking_regime_HORIZONTAL,0.0
tracking_regime_TRACKING_AM,0.0
tracking_regime_TRACKING_PM,0.0
