,coeficiente
Albedo_S2,0.12302397711269815
tracking_regime_HORIZONTAL,-0.11365009432960106
tracking_regime_TRACKING_PM,0.07064030446846624
Tsoil_S2_mean,0.04647290618137331
VWC_S2_mean,0.03572074916691268
Tsoil_S1_mean,-0.03496586817352503
Tair_WS,0.03375068924711664
Tair_S1_center,-0.03106563365314646
VWC_S1_mean,0.025413459824986762
day_of_year,-0.023644523778612554
Albedo_S1,0.016785027155739318
Tsoil_S1_mean_lag_6h,-0.011353073252774603
hour_of_day,0.009120683755799998
wind_speed_kmh,0.007259176254489972
ePAR_S1_mean,-0.004914057039289127
Tsoil_S1_mean_lag_12h,-0.004530457632622182
VWC_diff_S1_minus_S2,-0.004356564197998497
solar_elevation_deg,-0.002335620409158022
