sep=,
"Time","predominant_wind_direction"
2025-02-12 13:00:00,
2025-02-13 01:00:00,
2025-02-13 13:00:00,
2025-02-14 01:00:00,
2025-02-14 13:00:00,
2025-02-15 01:00:00,
2025-02-15 13:00:00,
2025-02-16 01:00:00,
2025-02-16 13:00:00,
2025-02-17 01:00:00,
2025-02-17 13:00:00,
2025-02-18 01:00:00,
2025-02-18 13:00:00,
2025-02-19 01:00:00,
2025-02-19 13:00:00,
2025-02-20 01:00:00,
2025-02-20 13:00:00,
2025-02-21 01:00:00,
2025-02-21 13:00:00,
2025-02-22 01:00:00,
2025-02-22 13:00:00,
2025-02-23 01:00:00,
2025-02-23 13:00:00,
2025-02-24 01:00:00,
2025-02-24 13:00:00,
2025-02-25 01:00:00,
2025-02-25 13:00:00,
2025-02-26 01:00:00,
2025-02-26 13:00:00,
2025-02-27 01:00:00,
2025-02-27 13:00:00,
2025-02-28 01:00:00,
2025-02-28 13:00:00,
2025-03-01 01:00:00,
2025-03-01 13:00:00,
2025-03-02 01:00:00,
2025-03-02 13:00:00,
2025-03-03 01:00:00,
2025-03-03 13:00:00,
2025-03-04 01:00:00,
2025-03-04 13:00:00,
2025-03-05 01:00:00,
2025-03-05 13:00:00,
2025-03-06 01:00:00,
2025-03-06 13:00:00,
2025-03-07 01:00:00,
2025-03-07 13:00:00,
2025-03-08 01:00:00,
2025-03-08 13:00:00,
2025-03-09 01:00:00,
2025-03-09 13:00:00,
2025-03-10 01:00:00,
2025-03-10 13:00:00,
2025-03-11 01:00:00,
2025-03-11 13:00:00,
2025-03-12 01:00:00,
2025-03-12 13:00:00,
2025-03-13 01:00:00,
2025-03-13 13:00:00,
2025-03-14 01:00:00,
2025-03-14 13:00:00,
2025-03-15 01:00:00,
2025-03-15 13:00:00,
2025-03-16 01:00:00,
2025-03-16 13:00:00,
2025-03-17 01:00:00,
2025-03-17 13:00:00,
2025-03-18 01:00:00,
2025-03-18 13:00:00,
2025-03-19 01:00:00,
2025-03-19 13:00:00,
2025-03-20 01:00:00,
2025-03-20 13:00:00,
2025-03-21 01:00:00,
2025-03-21 13:00:00,
2025-03-22 01:00:00,
2025-03-22 13:00:00,
2025-03-23 01:00:00,
2025-03-23 13:00:00,
2025-03-24 01:00:00,
2025-03-24 13:00:00,
2025-03-25 01:00:00,
2025-03-25 13:00:00,
2025-03-26 01:00:00,
2025-03-26 13:00:00,
2025-03-27 01:00:00,
2025-03-27 13:00:00,
2025-03-28 01:00:00,
2025-03-28 13:00:00,
2025-03-29 01:00:00,
2025-03-29 13:00:00,
2025-03-30 01:00:00,
2025-03-30 14:00:00,
2025-03-31 02:00:00,
2025-03-31 14:00:00,
2025-04-01 02:00:00,
2025-04-01 14:00:00,
2025-04-02 02:00:00,
2025-04-02 14:00:00,
2025-04-03 02:00:00,
2025-04-03 14:00:00,
2025-04-04 02:00:00,
2025-04-04 14:00:00,
2025-04-05 02:00:00,
2025-04-05 14:00:00,
2025-04-06 02:00:00,
2025-04-06 14:00:00,
2025-04-07 02:00:00,
2025-04-07 14:00:00,
2025-04-08 02:00:00,
2025-04-08 14:00:00,
2025-04-09 02:00:00,
2025-04-09 14:00:00,
2025-04-10 02:00:00,
2025-04-10 14:00:00,
2025-04-11 02:00:00,
2025-04-11 14:00:00,
2025-04-12 02:00:00,
2025-04-12 14:00:00,
2025-04-13 02:00:00,
2025-04-13 14:00:00,
2025-04-14 02:00:00,
2025-04-14 14:00:00,
2025-04-15 02:00:00,
2025-04-15 14:00:00,
2025-04-16 02:00:00,
2025-04-16 14:00:00,
2025-04-17 02:00:00,
2025-04-17 14:00:00,
2025-04-18 02:00:00,
2025-04-18 14:00:00,
2025-04-19 02:00:00,
2025-04-19 14:00:00,
2025-04-20 02:00:00,
2025-04-20 14:00:00,
2025-04-21 02:00:00,
2025-04-21 14:00:00,
2025-04-22 02:00:00,
2025-04-22 14:00:00,
2025-04-23 02:00:00,
2025-04-23 14:00:00,
2025-04-24 02:00:00,
2025-04-24 14:00:00,
2025-04-25 02:00:00,
2025-04-25 14:00:00,
2025-04-26 02:00:00,
2025-04-26 14:00:00,
2025-04-27 02:00:00,
2025-04-27 14:00:00,
2025-04-28 02:00:00,0 °
2025-04-28 14:00:00,
2025-04-29 02:00:00,
2025-04-29 14:00:00,
2025-04-30 02:00:00,
2025-04-30 14:00:00,
2025-05-01 02:00:00,
2025-05-01 14:00:00,
2025-05-02 02:00:00,
2025-05-02 14:00:00,
2025-05-03 02:00:00,
2025-05-03 14:00:00,
2025-05-04 02:00:00,
2025-05-04 14:00:00,
2025-05-05 02:00:00,
2025-05-05 14:00:00,
2025-05-06 02:00:00,
2025-05-06 14:00:00,
2025-05-07 02:00:00,
2025-05-07 14:00:00,
2025-05-08 02:00:00,
2025-05-08 14:00:00,
2025-05-09 02:00:00,
2025-05-09 14:00:00,
2025-05-10 02:00:00,
2025-05-10 14:00:00,
2025-05-11 02:00:00,
2025-05-11 14:00:00,
2025-05-12 02:00:00,
2025-05-12 14:00:00,
2025-05-13 02:00:00,
2025-05-13 14:00:00,
2025-05-14 02:00:00,
2025-05-14 14:00:00,
2025-05-15 02:00:00,
2025-05-15 14:00:00,
2025-05-16 02:00:00,
2025-05-16 14:00:00,
2025-05-17 02:00:00,
2025-05-17 14:00:00,
2025-05-18 02:00:00,
2025-05-18 14:00:00,
2025-05-19 02:00:00,
2025-05-19 14:00:00,
2025-05-20 02:00:00,
2025-05-20 14:00:00,
2025-05-21 02:00:00,
2025-05-21 14:00:00,0 °
2025-05-22 02:00:00,0 °
2025-05-22 14:00:00,49.9 °
2025-05-23 02:00:00,96.1 °
2025-05-23 14:00:00,188 °
2025-05-24 02:00:00,165 °
2025-05-24 14:00:00,205 °
2025-05-25 02:00:00,150 °
2025-05-25 14:00:00,192 °
2025-05-26 02:00:00,139 °
2025-05-26 14:00:00,189 °
2025-05-27 02:00:00,156 °
2025-05-27 14:00:00,196 °
2025-05-28 02:00:00,156 °
2025-05-28 14:00:00,165 °
2025-05-29 02:00:00,111 °
2025-05-29 14:00:00,150 °
2025-05-30 02:00:00,151 °
2025-05-30 14:00:00,201 °
2025-05-31 02:00:00,146 °
2025-05-31 14:00:00,198 °
2025-06-01 02:00:00,185 °
2025-06-01 14:00:00,166 °
2025-06-02 02:00:00,118 °
2025-06-02 14:00:00,115 °
2025-06-03 02:00:00,155 °
2025-06-03 14:00:00,192 °
2025-06-04 02:00:00,160 °
2025-06-04 14:00:00,168 °
2025-06-05 02:00:00,163 °
2025-06-05 14:00:00,200 °
2025-06-06 02:00:00,198 °
2025-06-06 14:00:00,194 °
