Time,tracker_angle_deg,hour_sin,hour_cos,day_sin,day_cos,solar_elevation_deg,solar_azimuth_deg,clearsky_ghi_wm2,air_temp_ext_avg_degc,wind_speed_kmh,precip_intensity_mm10min,PAR_R1,Tsoil_R1_mean,VWC_R1_mean,GPOA_mean,Delta_PAR_S1,Delta_Tsoil_S1,Delta_VWC_S1
2025-06-17 14:00:00,33.1,-0.5,-0.866,0.2489,-0.9685,72.06,185.14,922.2,,,,,,,796.9765,,,
2025-06-17 14:10:00,32.24,-0.5,-0.866,0.2489,-0.9685,71.77,192.48,920.5,,,,,,,801.6313,,,
2025-06-17 14:20:00,31.38,-0.5,-0.866,0.2489,-0.9685,71.26,199.53,917.2,,,,,,,805.0057,,,
2025-06-17 14:30:00,30.52,-0.5,-0.866,0.2489,-0.9685,70.53,206.18,912.5,,,,,,,806.8248,,,
2025-06-17 14:40:00,29.66,-0.5,-0.866,0.2489,-0.9685,69.61,212.35,906.3,,,,,,,807.077,,,
2025-06-17 14:50:00,28.8,-0.5,-0.866,0.2489,-0.9685,68.52,218.01,898.7,,,,,,,805.8472,,,
2025-06-17 15:00:00,27.94,-0.7071,-0.7071,0.2489,-0.9685,67.3,223.17,889.6,,,,,,,803.1832,,,
2025-06-17 15:10:00,27.08,-0.7071,-0.7071,0.2489,-0.9685,65.96,227.87,879.1,,,,,,,798.852,,,
2025-06-17 15:20:00,26.22,-0.7071,-0.7071,0.2489,-0.9685,64.52,232.14,867.2,,,,,,,792.9635,,,
2025-06-17 15:30:00,25.36,-0.7071,-0.7071,0.2489,-0.9685,63.0,236.02,853.9,,,,,,,785.6507,,,
2025-06-17 15:40:00,24.5,-0.7071,-0.7071,0.2489,-0.9685,61.41,239.57,839.3,,,,,,,776.7137,,,
2025-06-17 15:50:00,23.64,-0.7071,-0.7071,0.2489,-0.9685,59.77,242.82,823.4,,,,,,,766.2527,,,
2025-06-17 16:00:00,22.78,-0.866,-0.5,0.2489,-0.9685,58.08,245.82,806.1,,,,,,,754.3257,,,
2025-06-17 16:10:00,21.92,-0.866,-0.5,0.2489,-0.9685,56.34,248.6,787.7,,,,,,,740.8378,,,
2025-06-17 16:20:00,21.06,-0.866,-0.5,0.2489,-0.9685,54.58,251.19,768.0,,,,,,,725.924,,,
2025-06-17 16:30:00,20.2,-0.866,-0.5,0.2489,-0.9685,52.79,253.61,747.1,,,,,,,709.6138,,,
2025-06-17 16:40:00,19.34,-0.866,-0.5,0.2489,-0.9685,50.98,255.89,725.1,,,,,,,691.8377,,,
2025-06-17 16:50:00,18.48,-0.866,-0.5,0.2489,-0.9685,49.15,258.05,702.1,,,,,,,672.7404,,,
2025-06-17 17:00:00,17.63,-0.9659,-0.2588,0.2489,-0.9685,47.31,260.09,678.0,,,,,,,652.2891,,,
2025-06-17 17:10:00,16.77,-0.9659,-0.2588,0.2489,-0.9685,45.45,262.05,652.9,,,,,,,630.6035,,,
2025-06-17 17:20:00,15.91,-0.9659,-0.2588,0.2489,-0.9685,43.59,263.92,626.9,,,,,,,607.8348,,,
2025-06-17 17:30:00,15.05,-0.9659,-0.2588,0.2489,-0.9685,41.72,265.73,600.1,,,,,,,583.7623,,,
2025-06-17 17:40:00,14.19,-0.9659,-0.2588,0.2489,-0.9685,39.85,267.47,572.4,,,,,,,558.6509,,,
2025-06-17 17:50:00,13.33,-0.9659,-0.2588,0.2489,-0.9685,37.97,269.17,544.0,,,,,,,532.5047,,,
2025-06-17 18:00:00,12.47,-1.0,-0.0,0.2489,-0.9685,36.09,270.82,514.9,,,,,,,505.4925,,,
2025-06-17 18:10:00,11.61,-1.0,-0.0,0.2489,-0.9685,34.22,272.43,485.2,,,,,,,477.6021,,,
2025-06-17 18:20:00,10.75,-1.0,-0.0,0.2489,-0.9685,32.34,274.01,454.9,,,,,,,448.9044,,,
2025-06-17 18:30:00,9.89,-1.0,-0.0,0.2489,-0.9685,30.47,275.56,424.3,,,,,,,419.4695,,,
2025-06-17 18:40:00,9.03,-1.0,-0.0,0.2489,-0.9685,28.61,277.1,393.2,,,,,,,389.6,,,
2025-06-17 18:50:00,8.17,-1.0,-0.0,0.2489,-0.9685,26.75,278.61,361.9,,,,,,,359.1887,,,
2025-06-17 19:00:00,7.31,-0.9659,0.2588,0.2489,-0.9685,24.9,280.11,330.4,,,,,,,328.479,,,
2025-06-17 19:10:00,6.45,-0.9659,0.2588,0.2489,-0.9685,23.06,281.6,298.8,,,,,,,297.4681,,,
2025-06-17 19:20:00,5.59,-0.9659,0.2588,0.2489,-0.9685,21.23,283.09,267.2,,,,,,,266.3999,,,
2025-06-17 19:30:00,4.73,-0.9659,0.2588,0.2489,-0.9685,19.41,284.57,235.9,,,,,,,235.4319,,,
2025-06-17 19:40:00,3.87,-0.9659,0.2588,0.2489,-0.9685,17.6,286.06,204.9,,,,,,,204.5846,,,
2025-06-17 19:50:00,3.01,-0.9659,0.2588,0.2489,-0.9685,15.81,287.54,174.5,,,,,,,174.3626,,,
2025-06-17 20:00:00,2.15,-0.866,0.5,0.2489,-0.9685,14.03,289.04,144.8,,,,,,,144.7552,,,
2025-06-17 20:10:00,2.0,-0.866,0.5,0.2489,-0.9685,12.27,290.54,116.2,,,,,,,116.1973,,,
2025-06-17 20:20:00,1.86,-0.866,0.5,0.2489,-0.9685,10.54,292.05,89.2,,,,,,,89.1975,,,
2025-06-17 20:30:00,1.71,-0.866,0.5,0.2489,-0.9685,8.82,293.58,64.2,,,,,,,64.1003,,,
2025-06-17 20:40:00,1.57,-0.866,0.5,0.2489,-0.9685,7.13,295.12,41.9,,,,,,,41.9458,,,
